Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
1,u+o+b+a,about,TRUE,,abou,uoba,0,,u,o,,,,,b,a,,,,a,b,o,,u,o,b,a,,,,,+,,,,,,Keep,about
2,e+c+h+a+s,search,FALSE,,,echas,0,,,,e,c,,h,,a,,s,,s,e,a,,e,c,h,a,s,,,,+,,,,,,Keep,search
3,o+r+h+t,other,FALSE,,,orht,0,,,o,r,,,h,,t,,,,o,t,h,,o,r,h,t,,,,,+,,,,,,Keep,other
4,i+r+m+f+a+n,information,FALSE,,,irmfan,0,,,i,r,m,,f,,a,n,,,i,n,f,,i,r,m,f,a,n,,,+,,,,,,Keep,information
5,i+c+w+h,which,FALSE,,,icwh,0,,,i,,c,w,h,,,,,,w,h,i,,i,c,w,h,,,,,+,,,,,,Keep,which
6,i+e+h+t,their,FALSE,,,ieht,0,,,i,e,,,h,,t,,,,t,h,e,,i,e,h,t,,,,,+,,,,,,Keep,their
7,e+h+t,there,FALSE,,,eht,0,,,,e,,,h,,t,,,,t,h,e,,e,h,t,,,,,,+,,,,,,Keep,there
8,o+c+a+n,contact,FALSE,,,ocan,0,,,o,,c,,,,a,n,,,c,o,n,,o,c,a,n,,,,,+,,,,,,Keep,contact
9,u+i+e+b+n+s,business,FALSE,,,uiebns,0,,u,i,e,,,,b,,n,s,,b,u,s,,u,i,e,b,n,s,,,+,,,,,,Keep,business
10,o+e+n,online,FALSE,,,oen,0,,,o,e,,,,,,n,,,o,n,l,,o,e,n,,,,,,+,,,,,,Keep,online
11,i+r+f+t+s,first,FALSE,,,irfts,0,,,i,r,,,f,,t,,s,,f,i,r,,i,r,f,t,s,,,,+,,,,,,Keep,first
12,u+o+w+d+l,would,FALSE,,,uowdl,0,,u,o,,,w,d,,,l,,,w,o,u,,u,o,w,d,l,,,,+,,,,,,Keep,would
14,e+h+t+s,these,FALSE,,,ehts,0,,,,e,,,h,,t,,s,,t,h,e,,e,h,t,s,,,,,+,,,,,,Keep,these
15,i+c+l,click,FALSE,,,icl,0,,,i,,c,,,,,l,,,c,l,i,,i,c,l,,,,,,+,,,,,,Keep,click
16,i+e+v+s,service,FALSE,,,ievs,0,,,i,e,v,,,,,,s,,s,e,r,,i,e,v,s,,,,,+,,,,,,Keep,service
17,i+r+c+p,price,FALSE,,,ircp,0,,,i,r,c,,p,,,,,,p,r,i,,i,r,c,p,,,,,+,,,,,,Keep,price
18,o+e+p+l,people,FALSE,,,oepl,0,,,o,e,,,p,,,l,,,p,e,o,,o,e,p,l,,,,,+,,,,,,Keep,people
