Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
1,,about,FALSE,,abou,uoba,0,,u,o,,,,,b,a,,,,a,b,o,,u,o,b,a,,,,,+,,,,,,Keep,about
2,,search,FALSE,,,,0,,,,,,,,,,,,,s,e,a,,,,,,,,,,+,,,,,,Keep,search
3,,other,FALSE,,,,1,,,,,,,,,,,,,o,t,h,,,,,,,,,,+,,,,,,Keep,other
4,,information,FALSE,,,,2,,,,,,,,,,,,,i,n,f,,,,,,,,,,+,,,,,,Keep,information
5,,which,FALSE,,,,3,,,,,,,,,,,,,w,h,i,,,,,,,,,,+,,,,,,Keep,which
6,,their,FALSE,,,,4,,,,,,,,,,,,,t,h,e,,,,,,,,,,+,,,,,,Keep,their
7,,there,FALSE,,,,5,,,,,,,,,,,,,t,h,e,,,,,,,,,,+,,,,,,Keep,there
8,,contact,FALSE,,,,6,,,,,,,,,,,,,c,o,n,,,,,,,,,,+,,,,,,Keep,contact
9,,business,FALSE,,,,7,,,,,,,,,,,,,b,u,s,,,,,,,,,,+,,,,,,Keep,business
10,,online,FALSE,,,,8,,,,,,,,,,,,,o,n,l,,,,,,,,,,+,,,,,,Keep,online
11,,first,FALSE,,,,9,,,,,,,,,,,,,f,i,r,,,,,,,,,,+,,,,,,Keep,first
12,,would,FALSE,,,,10,,,,,,,,,,,,,w,o,u,,,,,,,,,,+,,,,,,Keep,would
14,,these,FALSE,,,,11,,,,,,,,,,,,,t,h,e,,,,,,,,,,+,,,,,,Keep,these
15,,click,FALSE,,,,12,,,,,,,,,,,,,c,l,i,,,,,,,,,,+,,,,,,Keep,click
16,,service,FALSE,,,,13,,,,,,,,,,,,,s,e,r,,,,,,,,,,+,,,,,,Keep,service
17,,price,FALSE,,,,14,,,,,,,,,,,,,p,r,i,,,,,,,,,,+,,,,,,Keep,price
18,,people,FALSE,,,,15,,,,,,,,,,,,,p,e,o,,,,,,,,,,+,,,,,,Keep,people
19,,state,FALSE,,,,16,,,,,,,,,,,,,s,t,a,,,,,,,,,,+,,,,,,Keep,state
20,,email,FALSE,,,,17,,,,,,,,,,,,,e,m,a,,,,,,,,,,+,,,,,,Keep,email
21,,health,FALSE,,,,18,,,,,,,,,,,,,h,e,a,,,,,,,,,,+,,,,,,Keep,health
22,,world,FALSE,,,,19,,,,,,,,,,,,,w,o,r,,,,,,,,,,+,,,,,,Keep,world
24,,music,FALSE,,,,20,,,,,,,,,,,,,m,u,s,,,,,,,,,,+,,,,,,Keep,music
25,,should,FALSE,,,,21,,,,,,,,,,,,,s,h,o,,,,,,,,,,+,,,,,,Keep,should
26,,product,FALSE,,,,22,,,,,,,,,,,,,p,r,o,,,,,,,,,,+,,,,,,Keep,product
27,,system,FALSE,,,,23,,,,,,,,,,,,,s,y,s,,,,,,,,,,+,,,,,,Keep,system
28,,policy,FALSE,,,,24,,,,,,,,,,,,,p,o,l,,,,,,,,,,+,,,,,,Keep,policy
29,,number,FALSE,,,,25,,,,,,,,,,,,,n,u,m,,,,,,,,,,+,,,,,,Keep,number
30,,please,FALSE,,,,26,,,,,,,,,,,,,p,l,e,,,,,,,,,,+,,,,,,Keep,please
31,,available,FALSE,,,,27,,,,,,,,,,,,,a,v,a,,,,,,,,,,+,,,,,,Keep,available
32,,copyright,FALSE,,,,28,,,,,,,,,,,,,c,o,p,,,,,,,,,,+,,,,,,Keep,copyright
33,,support,FALSE,,,,29,,,,,,,,,,,,,s,u,p,,,,,,,,,,+,,,,,,Keep,support
34,,message,FALSE,,,,30,,,,,,,,,,,,,m,e,s,,,,,,,,,,+,,,,,,Keep,message
35,,after,FALSE,,,,31,,,,,,,,,,,,,a,f,t,,,,,,,,,,+,,,,,,Keep,after
36,,software,FALSE,,,,32,,,,,,,,,,,,,s,o,f,,,,,,,,,,+,,,,,,Keep,software
37,,video,FALSE,,,,33,,,,,,,,,,,,,v,i,d,,,,,,,,,,+,,,,,,Keep,video
38,,where,FALSE,,,,34,,,,,,,,,,,,,w,h,e,,,,,,,,,,+,,,,,,Keep,where
39,,rights,FALSE,,,,35,,,,,,,,,,,,,r,i,g,,,,,,,,,,+,,,,,,Keep,rights
40,,public,FALSE,,,,36,,,,,,,,,,,,,p,u,b,,,,,,,,,,+,,,,,,Keep,public
41,,books,FALSE,,,,37,,,,,,,,,,,,,b,o,o,,,,,,,,,,+,,,,,,Keep,books
42,,school,FALSE,,,,38,,,,,,,,,,,,,s,c,h,,,,,,,,,,+,,,,,,Keep,school
43,,through,FALSE,,,,39,,,,,,,,,,,,,t,h,r,,,,,,,,,,+,,,,,,Keep,through
44,,links,FALSE,,,,40,,,,,,,,,,,,,l,i,n,,,,,,,,,,+,,,,,,Keep,links
45,,review,FALSE,,,,41,,,,,,,,,,,,,r,e,v,,,,,,,,,,+,,,,,,Keep,review
46,,years,FALSE,,,,42,,,,,,,,,,,,,y,e,a,,,,,,,,,,+,,,,,,Keep,years
47,,order,FALSE,,,,43,,,,,,,,,,,,,o,r,d,,,,,,,,,,+,,,,,,Keep,order
48,,privacy,FALSE,,,,44,,,,,,,,,,,,,p,r,i,,,,,,,,,,+,,,,,,Keep,privacy
49,,items,FALSE,,,,45,,,,,,,,,,,,,i,t,e,,,,,,,,,,+,,,,,,Keep,items
50,,company,FALSE,,,,46,,,,,,,,,,,,,c,o,m,,,,,,,,,,+,,,,,,Keep,company
51,,group,FALSE,,,,47,,,,,,,,,,,,,g,r,o,,,,,,,,,,+,,,,,,Keep,group
52,,under,FALSE,,,,48,,,,,,,,,,,,,u,n,d,,,,,,,,,,+,,,,,,Keep,under
53,,general,FALSE,,,,49,,,,,,,,,,,,,g,e,n,,,,,,,,,,+,,,,,,Keep,general
55,,university,FALSE,,,,50,,,,,,,,,,,,,u,n,i,,,,,,,,,,+,,,,,,Keep,university
