Freq,Input,Output (word/lemma),"human
checked",Alt,Ordered,Auto ,conflict,L pinky,L ring,L middle,L index,LT1,LT2,RT1,RT2,R index,R middle,R ring ,R pinky,1st,2nd,3rd,,,,,,,,,,,,,,,,,
1,e+h+t,the,TRUE,,abou,eht,0,,,,e,,,h,,t,,,,t,h,e,,e,h,t,,,,,,+,,,,,,Remove,FALSE
2,o+f,of,FALSE,,,of,0,,,o,,,,f,,,,,,o,f,,,o,f,,,,,,,+,,,,,,Remove,FALSE
3,d+a+n,and,FALSE,,,dan,0,,,,,,,d,,a,n,,,a,n,d,,d,a,n,,,,,,+,,,,,,Remove,FALSE
4,o+t,to,FALSE,,,ot,0,,,o,,,,,,t,,,,t,o,,,o,t,,,,,,,+,,,,,,Remove,FALSE
6,i+n,in,FALSE,,,in,0,,,i,,,,,,,n,,,i,n,,,i,n,,,,,,,+,,,,,,Remove,FALSE
7,o+r+f,for,FALSE,,,orf,0,,,o,r,,,f,,,,,,f,o,r,,o,r,f,,,,,,+,,,,,,Remove,FALSE
8,i+s,is,FALSE,,,is,0,,,i,,,,,,,,s,,i,s,,,i,s,,,,,,,+,,,,,,Remove,FALSE
9,o+n,on,FALSE,,,on,0,,,o,,,,,,,n,,,o,n,,,o,n,,,,,,,+,,,,,,Remove,FALSE
10,h+t,that,FALSE,,,ht,0,,,,,,,h,,t,,,,t,h,a,,h,t,,,,,,,+,,,,,,Remove,FALSE
11,b+y,by,FALSE,,,by,0,,,,,,,,b,,,y,,b,y,,,b,y,,,,,,,+,,,,,,Remove,FALSE
12,i+h+t+s,this,FALSE,,,ihts,0,,,i,,,,h,,t,,s,,t,h,i,,i,h,t,s,,,,,+,,,,,,Remove,FALSE
14,i+w+h+t,with,FALSE,,,iwht,0,,,i,,,w,h,,t,,,,w,i,t,,i,w,h,t,,,,,+,,,,,,Remove,FALSE
16,u+o+y,you,FALSE,,,uoy,0,,u,o,,,,,,,,y,,y,o,u,,u,o,y,,,,,,+,,,,,,Remove,FALSE
17,i+t,it,FALSE,,,it,0,,,i,,,,,,t,,,,i,t,,,i,t,,,,,,,+,,,,,,Remove,FALSE
18,o+t+n,not,FALSE,,,otn,0,,,o,,,,,,t,n,,,n,o,t,,o,t,n,,,,,,+,,,,,,Remove,FALSE
19,o+r,or,FALSE,,,or,0,,,o,r,,,,,,,,,o,r,,,o,r,,,,,,,+,,,,,,Remove,FALSE
20,e+b,be,FALSE,,,eb,0,,,,e,,,,b,,,,,b,e,,,e,b,,,,,,,+,,,,,,Remove,FALSE
21,r+a,are,FALSE,,,ra,0,,,,r,,,,,a,,,,a,r,e,,r,a,,,,,,,+,,,,,,Remove,FALSE
22,o+r+m+f,from,FALSE,,,ormf,0,,,o,r,m,,f,,,,,,f,r,o,,o,r,m,f,,,,,+,,,,,,Remove,FALSE
24,a+,at,FALSE,,,a,0,,,,,,,,,a,,,,a,t,,,a,,,,,,,,+,,,,,,Remove,FALSE
25,a+s,as,FALSE,,,as,0,,,,,,,,,a,,s,,a,s,,,a,s,,,,,,,+,,,,,,Remove,FALSE
26,u+o+r+y,your,FALSE,,,uory,0,,u,o,r,,,,,,,y,,y,o,u,,u,o,r,y,,,,,+,,,,,,Remove,FALSE
27,a+l,all,FALSE,,,al,0,,,,,,,,,a,l,,,a,l,l,,a,l,,,,,,,+,,,,,,Remove,FALSE
28,e+v+h+a,have,FALSE,,,evha,0,,,,e,v,,h,,a,,,,h,a,v,,e,v,h,a,,,,,+,,,,,,Remove,FALSE
29,e+w+n,new,FALSE,,,ewn,0,,,,e,,w,,,,n,,,n,e,w,,e,w,n,,,,,,+,,,,,,Remove,FALSE
30,o+r+m,more,FALSE,,,orm,0,,,o,r,m,,,,,,,,m,o,r,,o,r,m,,,,,,+,,,,,,Remove,FALSE
31,a+n,an,FALSE,,,an,0,,,,,,,,,a,n,,,a,n,,,a,n,,,,,,,+,,,,,,Remove,FALSE
32,w+a+s,was,FALSE,,,was,0,,,,,,w,,,a,,s,,w,a,s,,w,a,s,,,,,,+,,,,,,Remove,FALSE
33,e+w,we,FALSE,,,ew,0,,,,e,,w,,,,,,,w,e,,,e,w,,,,,,,+,,,,,,Remove,FALSE
34,i+w+l,will,FALSE,,,iwl,0,,,i,,,w,,,,l,,,w,i,l,,i,w,l,,,,,,+,,,,,,Remove,FALSE
35,o+e+m+h,home,FALSE,,,oemh,0,,,o,e,m,,h,,,,,,h,o,m,,o,e,m,h,,,,,+,,,,,,Remove,FALSE
36,c+a+n,can,FALSE,,,can,0,,,,,c,,,,a,n,,,c,a,n,,c,a,n,,,,,,+,,,,,,Remove,FALSE
37,u+s,us,FALSE,,,us,0,,u,,,,,,,,,s,,u,s,,,u,s,,,,,,,+,,,,,,Remove,FALSE
38,u+o+b+a,about,FALSE,,,uoba,0,,u,o,,,,,b,a,,,,a,b,o,,u,o,b,a,,,,,+,,,,,,Keep,about
39,i+f,if,FALSE,,,if,0,,,i,,,,f,,,,,,i,f,,,i,f,,,,,,,+,,,,,,Remove,FALSE
40,e+g+p+a,page,FALSE,,,egpa,0,,,,e,,g,p,,a,,,,p,a,g,,e,g,p,a,,,,,+,,,,,,Remove,FALSE
41,m+y,my,FALSE,,,my,0,,,,,m,,,,,,y,,m,y,,,m,y,,,,,,,+,,,,,,Remove,FALSE
42,h+a+s,has,FALSE,,,has,0,,,,,,,h,,a,,s,,h,a,s,,h,a,s,,,,,,+,,,,,,Remove,FALSE
43,e+c+h+a+s,search,FALSE,,,echas,0,,,,e,c,,h,,a,,s,,s,e,a,,e,c,h,a,s,,,,+,,,,,,Keep,search
44,r+f,free,FALSE,,,rf,0,,,,r,,,f,,,,,,f,r,e,,r,f,,,,,,,+,,,,,,Remove,FALSE
45,u+b+t,but,FALSE,,,ubt,0,,u,,,,,,b,t,,,,b,u,t,,u,b,t,,,,,,+,,,,,,Remove,FALSE
46,u+o+r,our,FALSE,,,uor,0,,u,o,r,,,,,,,,,o,u,r,,u,o,r,,,,,,+,,,,,,Remove,FALSE
47,o+e+n,one,FALSE,,,oen,0,,,o,e,,,,,,n,,,o,n,e,,o,e,n,,,,,,+,,,,,,Remove,FALSE
48,o+r+h+t,other,FALSE,,,orht,0,,,o,r,,,h,,t,,,,o,t,h,,o,r,h,t,,,,,+,,,,,,Keep,other
